topic-source,topic-category,topic,topic-keywords,abstract-category
External,Presidential Debate (1st),The Economy,"['recovering economy','dropped unemployment rate','v shaped recovery','k shaped recovery','country shutdown','fewer jobs','covid crisis','heated trade war','great recession','buy american','eliminate Trump tax cuts','student loan debt']",Social
External,Presidential Debate (1st),The Supreme Court Appointments,"['elections have consequences', 'fill US Supreme court seat','supreme court nominee','get rid of affordable care act','amy coney barett','supreme court appointments', 'ending the filibuster','packing the cohort']",National Security
External,Presidential Debate (1st),COVID-19,"['covid crisis','deadly disease','trump panicked','save lives','economy shutdown','wear masks','vaccine','china plague','reopening plan','big rallies','smaller rallies', 'dc lockdown']",Healthcare
External,Presidential Debate (1st),Race & Violence in our cities,"['race issues','equity in equality','decency','floyd murder','peaceful protest','black lives matter','generate racist hatred','1994 crime bill super-predators','law enforcement','demand law and order','systemic injustice','violence is inappropriate','end racial senstivity training','increase in homicides','reimagining police','community police','prosecute violence', 'weapon ban']",Social
External,Presidential Debate (1st),The Integrity of Elections,"['vote','validate counting ballots','solicited ballot','irregularity in ballot','justice ballot by supreme court','testify votes','fair election','manipulating ballots','pledge to not declare victory before ballots are independenly certified','urge supporters to stay calm while counting','transparency','voter fraud','voter suppression','swing vote','gerrymandering','interventionism']",Elections
External,Presidential Debate (1st),The Trump & Biden Records,"['impeachment hoax','con job','rebuilt military','judge vaccancies','128 openings','more divided','more violent','caused recession','weaker','putins puppy','hunter','fortune in moscow, ukraine, china','federal judges','veteran affairs','bronze star']",Elections
External,Presidential Debate (1st),Trump Healthcare Plan,"['cut drug prices','public option to obamacare','government takeover of healthcare','socialize medicine','end obamacare']",Healthcare
External,Presidential Debate (2nd),Fighting COVID-19,"['fight pandemic','lower mortality rate','vaccine','operation warp speed','distributing ventilators','wear masks','rapid testing','national standards for reopening','financial resources for reopening','increase in unemployment rate','committing suicide','depression','social distancing','plexi-glass separators','protect seniors','trump panicked','sell short','remdesivir','self quarantine','sanitize','exercise','eat healthy','meditate']",Healthcare
External,Presidential Debate (2nd),American Families & The Economy,"['healthcare','health insurance','affordable care act','terminated individual mandate','end obamacare','better healthcare','building on obamacare','bidencare','obamacare with public option','eliminate private insurance','affordable healthcare','healthcare is right','socialized medicine','fracking','destroying medicare','destroying social security','cut medicare','poverty','hunger','raise minimum wage','bail out small businesses','immigration','zero tolerance policy','reunion of families']",Healthcare
External,Presidential Debate (2nd),Race in America,"['institutional racism','free from violence','super predators','1994 crime bill','criminal justice reform','prison reform','eliminate minimum mandatories','black lives matter movement is hate','climate of hate','banned muslims','bill on drug use','no jail for drug offense']",Social
External,Presidential Debate (2nd),Climate Change,"['opportunity for jobs','best carbon emission standards','climate change','global warming','health and jobs are at stake','economic growth','energy independent','fracking','zero emissions','sustainable','keep frontline communities safe','renewable energy','federal subsidy to oil industry','forest fires in west','paris climate accord','climate change','lowest carbon','billion tree project','forest management','maintain forests','obama plain power plan','green jobs','renewable energy','electric vehicles','net zero emission by 2035','global warming','green new deal']",Social
External,Presidential Debate (2nd),National Security,"['security of elections','iran & russia influencing elections','iran sent messages to voters','intruders will pay a price','american sovereignity','russian pawn','bounties to kill soldiers in afghanistan','interference from foreign adversaries','biden should lose','election security','business in china','pays tax in china','tax returns of trump','corruption','big man','release tax return statements','foreign entaglements','bribe ukranian','bank account in china','play by rules','denuclearization','north korea was a mess','nationalism']",National Security
External,Presidential Debate (2nd),Leadership,"['inauguration day','rebuilding america','best black unemployment numbers','road to success','cut taxes','new regulations','together with success','depression','401ks will go to hell','inaugural address','hope over fear','chose to move forward','grow economy','deal with systemic racism','motivated by clean energy','create millions of jobs','character of the country','everyone has an even chance']",National Security
